";ITEM  RASCH_SCALING_EXAMPLE  Nov 23 2024 08:47"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
25,-.324504,1,3500.000,1985.0000,.036936,1.0183,1.2210,1.0221,.9310,-.00019,.3685,1.0000,69.077,69.547,.3860,.4479,-.324503,8949.9,3563.8,"0","R","K","MCQ_OP_25"
26,-1.45684,1,3500.000,2703.0000,.042842,.9981,-.0690,.9975,-.0390,-.00052,.3356,1.0000,79.308,79.334,.3335,.3823,-1.45684,3675.1,1032.7,"0","R","K","MCQ_OP_26"
27,-.970243,1,3500.000,2421.0000,.039316,1.0093,.5110,1.0602,1.8011,-.00049,.3501,1.0000,73.964,74.210,.3625,.4189,-.970241,5839.9,1843.4,"0","R","K","MCQ_OP_27"
28,1.501757,1,3500.000,774.0000,.043152,1.0097,.4110,1.0092,.2210,.000551,.3311,1.0000,79.423,79.723,.3385,.3817,1.501754,3564.7,971.51,"0","R","K","MCQ_OP_28"
29,.482092,1,3500.000,1407.0000,.037250,.9964,-.2290,1.0198,.7910,.000104,.3863,1.0000,70.935,70.194,.3853,.4393,.482092,8467.2,3154.3,"0","R","K","MCQ_OP_29"
30,1.016511,1,3500.000,1052.0000,.039499,1.0427,2.2610,1.0883,2.5511,.000344,.3257,1.0000,73.049,74.396,.3662,.4238,1.016509,5738.0,1751.2,"0","R","K","MCQ_OP_30"
31,.110009,1,3500.000,3342.0000,.025711,.9570,-2.1490,.9451,-2.3591,.000003,.5296,1.0000,53.958,53.141,.5033,.6238,.110009,4891.5,3579.7,"0","R","K","TEI_OP_01"
32,.504643,1,3500.000,2701.0000,.025064,1.0024,.1210,.9897,-.3390,.000250,.5111,1.0000,53.730,53.391,.5109,.6548,.504643,4532.8,2260.7,"0","R","K","TEI_OP_02"
33,1.932838,1,3500.000,3414.0000,.019331,.8935,-3.9591,.9027,-2.9491,.003332,.5915,1.0000,52.472,50.333,.5590,.8016,1.932838,2577.6,1731.3,"0","R","K","SCR_OP_01"
34,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_01"
35,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_02"
36,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_03"
37,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_04"
38,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_05"
39,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_06"
40,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_07"
41,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_08"
42,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_09"
43,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_10"
44,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_11"
45,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_12"
46,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_13"
47,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_14"
48,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_15"
49,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_16"
